game_id,date,home_team,away_team,home_score,away_score,home_win
0022500425,2025-12-26,WAS,TOR,138,117,1
0022500431,2025-12-26,POR,LAC,103,119,0
0022500430,2025-12-26,UTA,DET,131,129,1
0022500438,2025-12-27,HOU,CLE,117,100,1
0022500436,2025-12-27,MIA,IND,142,116,1
0022500435,2025-12-27,ATL,NYK,125,128,0
0022500434,2025-12-27,NOP,PHX,114,123,0
0022500439,2025-12-27,MIN,BKN,107,123,0
0022500433,2025-12-27,ORL,DEN,127,126,1
0022500440,2025-12-27,SAS,UTA,114,127,0
0022500437,2025-12-27,CHI,MIL,103,112,0
0022500432,2025-12-27,SAC,DAL,113,107,1
0022500445,2025-12-28,LAC,DET,112,99,1
0022500442,2025-12-28,OKC,PHI,129,104,1
0022500443,2025-12-28,WAS,MEM,116,112,1
0022500441,2025-12-28,TOR,GSW,141,127,1
0022500444,2025-12-28,POR,BOS,114,108,1
0022500446,2025-12-28,LAL,SAC,125,101,1
0022500452,2025-12-29,CHI,MIN,101,136,0
0022500448,2025-12-29,WAS,PHX,101,115,0
0022500454,2025-12-29,NOP,NYK,125,130,0
0022500457,2025-12-29,POR,DAL,125,122,1
0022500447,2025-12-29,CHA,MIL,113,123,0
0022500451,2025-12-29,TOR,ORL,107,106,1
0022500453,2025-12-29,HOU,IND,126,119,1
0022500449,2025-12-29,BKN,GSW,107,120,0
0022500456,2025-12-29,SAS,CLE,101,113,0
0022500450,2025-12-29,MIA,DEN,147,123,1
0022500455,2025-12-29,OKC,ATL,140,129,1
0022500458,2025-12-30,MEM,PHI,136,139,0
0022500461,2025-12-30,LAC,SAC,131,90,1
0022500460,2025-12-30,LAL,DET,106,128,0
0022500459,2025-12-30,UTA,BOS,119,129,0
0022500464,2025-12-31,IND,ORL,110,112,0
0022500462,2025-12-31,CHA,GSW,125,132,0
0022500469,2025-12-31,MIL,WAS,113,114,0
0022500468,2025-12-31,TOR,DEN,103,106,0
0022500465,2025-12-31,CLE,PHX,129,113,1
0022500470,2025-12-31,OKC,POR,124,95,1
0022500467,2025-12-31,SAS,NYK,134,132,1
0022500463,2025-12-31,ATL,MIN,126,102,1
0022500466,2025-12-31,CHI,NOP,134,118,1
0022500475,2026-01-01,LAC,UTA,118,101,1
0022500473,2026-01-01,DAL,PHI,108,123,0
0022500474,2026-01-01,SAC,BOS,106,120,0
0022500471,2026-01-01,BKN,HOU,96,120,0
0022500472,2026-01-01,DET,MIA,112,118,0
0022500476,2026-01-02,IND,SAS,113,123,0
0022500480,2026-01-02,CHI,ORL,121,114,1
0022500481,2026-01-02,MIL,CHA,122,121,1
0022500477,2026-01-02,WAS,BKN,119,99,1
0022500485,2026-01-02,LAL,MEM,128,121,1
0022500483,2026-01-02,PHX,SAC,129,102,1
0022500484,2026-01-02,GSW,OKC,94,131,0
0022500478,2026-01-02,CLE,DEN,113,108,1
0022500479,2026-01-02,NYK,ATL,99,111,0
0022500482,2026-01-02,NOP,POR,109,122,0
0022500490,2026-01-03,SAS,POR,110,115,0
0022500488,2026-01-03,TOR,ATL,134,117,1
0022500491,2026-01-03,DAL,HOU,110,104,1
0022500486,2026-01-03,MIA,MIN,115,125,0
0022500487,2026-01-03,NYK,PHI,119,130,0
0022500493,2026-01-03,LAC,BOS,115,146,0
0022500489,2026-01-03,CHI,CHA,99,112,0
0022500492,2026-01-03,GSW,UTA,123,114,1
0022500497,2026-01-04,MIA,NOP,125,106,1
0022500501,2026-01-04,LAL,MEM,120,114,1
0022500500,2026-01-04,SAC,MIL,98,115,0
0022500499,2026-01-04,PHX,OKC,108,105,1
0022500494,2026-01-04,CLE,DET,110,114,0
0022500496,2026-01-04,BKN,DEN,127,115,1
0022500495,2026-01-04,ORL,IND,135,127,1
0022500498,2026-01-04,WAS,MIN,115,141,0
0022500506,2026-01-05,OKC,CHA,97,124,0
0022500503,2026-01-05,BOS,CHI,115,101,1
0022500508,2026-01-05,LAC,GSW,103,102,1
0022500505,2026-01-05,HOU,PHX,100,97,1
0022500507,2026-01-05,PHI,DEN,124,125,0
0022500509,2026-01-05,POR,UTA,137,117,1
0022500504,2026-01-05,TOR,ATL,118,100,1
0022500502,2026-01-05,DET,NYK,121,90,1
0022500510,2026-01-06,IND,CLE,116,120,0
0022500512,2026-01-06,MEM,SAS,106,105,1
